Version,Set,Item1,Item2,Item3,Item4
74,4,19,10,13,4
74,5,9,17,12,15
75,1,3,11,1,7
75,2,18,19,4,12
75,3,15,6,14,13
75,4,5,20,9,8
75,5,17,16,2,10
76,1,17,18,12,11
76,2,20,6,5,8
76,3,16,13,10,7
76,4,19,14,3,4
76,5,9,1,15,2
77,1,16,14,4,13
77,2,1,10,9,18
77,3,12,15,17,3
77,4,8,6,20,2
77,5,7,11,5,19
78,1,18,12,11,2
78,2,19,1,3,15
78,3,20,10,14,6
78,4,4,9,7,8
78,5,5,13,16,17
79,1,4,6,17,20
79,2,2,11,15,14
79,3,5,1,8,3
79,4,18,12,10,9
79,5,7,19,13,16
80,1,16,17,3,11
80,2,20,8,2,10
80,3,1,18,7,5
80,4,19,9,15,4
80,5,6,12,13,14
81,1,7,16,17,3
81,2,19,14,2,20
81,3,1,9,4,11
81,4,15,18,8,10
81,5,6,13,5,12
82,1,17,12,1,3
82,2,8,13,20,4
82,3,2,6,14,10
82,4,9,18,5,19
82,5,7,11,15,16
83,1,10,18,9,6
83,2,17,1,4,2
83,3,5,8,14,20
83,4,7,16,13,19
83,5,15,12,11,3
84,1,14,20,4,1
84,2,12,7,5,16
84,3,9,15,18,6
84,4,3,13,17,2
84,5,11,10,19,8
85,1,11,12,4,14
85,2,7,20,6,1
85,3,17,10,18,5
85,4,15,19,3,8
85,5,9,16,2,13
86,1,4,8,20,3
86,2,18,6,14,16
86,3,12,10,17,7
86,4,11,9,1,2
86,5,5,19,15,13
87,1,6,1,20,2
87,2,4,15,14,13
87,3,16,5,11,18
87,4,19,8,3,9
87,5,7,10,17,12
88,1,9,18,10,15
88,2,5,19,6,16
88,3,20,3,4,14
88,4,7,11,1,2
88,5,17,13,8,12
89,1,13,8,7,1
89,2,5,3,11,15
89,3,14,16,17,9
89,4,12,18,4,10
89,5,20,2,19,6
90,1,8,3,17,4
90,2,5,9,7,2
90,3,18,12,20,14
90,4,13,10,6,16
90,5,19,15,11,1
91,1,20,15,7,19
91,2,4,18,11,10
91,3,9,2,3,8
91,4,16,5,13,12
91,5,14,6,1,17
92,1,13,17,7,3
92,2,15,5,19,1
92,3,12,9,11,14
92,4,18,10,6,2
92,5,16,8,20,4
93,1,18,10,19,15
93,2,11,17,6,7
93,3,1,20,16,5
93,4,8,14,4,12
93,5,9,2,3,13
94,1,17,2,9,8
94,2,12,20,5,11
94,3,18,14,15,19
94,4,4,7,6,1
94,5,3,10,16,13
95,1,5,7,6,10
95,2,19,15,8,13
95,3,1,4,16,17
95,4,2,12,9,14
95,5,20,18,11,3
96,1,19,9,1,12
96,2,17,8,11,13
96,3,4,15,6,2
96,4,3,16,10,20
96,5,7,14,18,5
97,1,17,18,12,9
97,2,7,6,16,8
97,3,13,2,5,3
97,4,20,1,15,14
97,5,19,10,4,11
98,1,11,7,18,16
98,2,9,1,2,10
98,3,14,20,13,5
98,4,6,3,15,8
98,5,12,4,19,17
99,1,10,13,12,7
99,2,17,3,8,16
99,3,1,19,4,15
99,4,11,2,6,9
99,5,14,20,18,5
100,1,12,10,8,5
100,2,1,7,17,6
100,3,13,2,19,20
100,4,4,9,14,15
100,5,18,11,16,3
